"State","Segment","Year","ret_ICE","ret_BEV","ret_PHEV","ret_EV","Growth_seg","add_BEV","add_PHEV","add_ICE","Demand_total","exp_ICE","exp_BEV","exp_PHEV"
"Alabama","Car",2020,126101.206954943,0,0,0,0,361.465403866915,120.615746971736,73043,73525.0811508387,8313.63576292055,0,0
"Alabama","Car",2021,119456.604161716,0,1,1,0,617.53747249725,181.818759532283,76463,77262.3562320295,9131.96841992712,0,0.0764459067291467
"Alabama","Car",2022,113910.331403136,1,1,2,0,1018.04925684805,114.61122086132,72933,74065.6604777094,8769.54515474435,0.0769863896164815,0.0769863896164815
"Alabama","Car",2023,109216.756278013,3,5,8,0,1175.22427514834,87.4170746634027,77823,79085.6413498117,9134.39411675963,0.250906392793095,0.418177321321826
"Alabama","Car",2024,105233.72875287,5,6,11,0,953.468601479232,103.332466340269,76417,77473.8010678195,9506.49928765161,0.451684996831034,0.54202199619724
"Alabama","Car",2025,101782.088274054,11,10,21,6118.3933888168,8571.28105111313,1903.1306206284,97447.0699911291,107921.481662871,8005.06841382935,0.865139967604397,0.786490879640361
"Alabama","Car",2026,98842.4807166767,18,15,33,6118.3933888168,11112.852610485,2461.80209682919,91419.2193981793,104993.874105493,7773.87096046945,1.41568358335265,1.17973631946054
"Alabama","Car",2027,96191.919910892,31,24,55,6118.3933888168,14369.1137608602,3503.58612586302,84492.6134129856,102365.313299709,7565.40677050126,2.43812172688512,1.88757811113687
"Alabama","Car",2028,93729.5816798793,47,36,83,6118.3933888168,17604.0886902562,3603.59936655938,78723.2870118805,99930.9750686961,7371.74611437314,3.6965071343097,2.8313671667053
"Alabama","Car",2029,91387.6061702355,76,49,125,6118.3933888168,20671.8858884617,4578.24042399246,72380.8732465981,97630.9995590523,7187.55187650554,5.97733068526675,3.85380531023777
"Alabama","Car",2030,89120.3270368244,114,65,179,6118.3933888168,23746.2616454626,5051.94884814946,66619.5099320291,95417.7204256412,7009.23244050287,8.96599602790012,5.11219071766235
"Alabama","Car",2031,86919.9692772383,170,85,255,1789.42422043506,25775.9619857523,5875.17588955331,57313.2556223677,88964.3934976733,6836.17630951683,13.3703449538861,6.68517247694307
"Alabama","Car",2032,84788.3857841263,249,106,355,1789.42422043506,28496.9922297591,6810.90070185289,51624.9170729494,86932.8100045613,6668.52921186438,19.583622903045,8.33680332418783
"Alabama","Car",2033,82779.2564334395,359,125,484,1789.42422043506,33022.3928520761,7403.39126979819,44626.8965320002,85052.6806538745,6510.51302083109,28.235022579089,9.83113599550452
"Alabama","Car",2034,80930.1292605638,521,154,675,1789.42422043506,35141.7102879283,7499.69115211972,40753.1520409509,83394.5534809989,6365.0808551549,40.9761748292628,12.1119595464616
"Alabama","Car",2035,79287.2664109741,748,195,943,1789.42422043506,36947.0697404432,7453.1322460257,37619.4886449403,82019.6906314092,6235.87119038467,58.829517797099,15.336572152987
"Alabama","Car",2036,77862.1031933923,1075,256,1331,1789.42422043506,38523.7424085232,7358.63786063487,35100.1471446693,80982.5274138274,6123.78340312197,84.5477695613388,20.1341665187933
"Alabama","Car",2037,76632.1534089579,1542,344,1886,1789.42422043506,39922.2205845966,7230.90473344215,33154.4523113542,80307.577629393,6027.04897433464,121.276893640544,27.0552862596284
"Alabama","Car",2038,75541.355102293,2180,478,2658,1789.42422043506,41250.0463105904,7094.495280037,31644.2377321007,79988.7793227281,5941.25868236273,171.455011761599,37.5942640468093
"Alabama","Car",2039,74507.0586324848,3019,657,3676,1789.42422043506,42540.3562122881,6968.18494171968,30463.9416989121,79972.4828529198,5859.91220832789,237.441596563425,51.6724507923717
"Alabama","Car",2040,73224.6692991687,4056,884,4940,1789.42422043506,43606.902860592,6830.38185319962,29516.8088058122,79954.0935196038,5759.05345684778,319.000700782131,69.525793760208
"Alabama","Car",2041,72052.4802348856,5276,1152,6428,-204.626077448018,43604.6107462715,6558.38412265051,28112.8592885156,78275.8541574376,5666.86185602049,414.952588098255,90.6037493345696
"Alabama","Car",2042,70652.0389654934,6616,1449,8065,-204.626077448318,44567.0594541332,6454.51182390971,27490.8416100021,78512.412888045,5556.7184274356,520.342365970063,113.962528459888
