State,Year,add_BEV,add_PHEV,add_ICE,ret_BEV,ret_PHEV,ret_ICE,stock_BEV,stock_PHEV,stock_ICE,stock_Total,import_from_US,Scenario
Mexico,2022,5631,4575,1043663,2.2028690844120407,0.7342896948040136,1510917.6003818912,10244.328847268294,6139.442949089431,25830196.22180628,25846579.993602637,673182,ACCII
Mexico,2023,14172,5778,1289396,4.994890293211042,1.8264350749533698,1518567.9625501106,24557.150297096756,12008.167324895332,26330950.259256173,26367515.576878164,730180,ACCII
Mexico,2024,24290,7994,1380012,10.978530367872603,5.266870953049075,1523406.123835956,49094.5075906374,20155.084956114482,26974929.135420218,27044178.72796697,787829,ACCII
Mexico,2025,20923,13684,1377912,24.407068720496916,11.518256431782538,1528257.3277294012,70339.03258106184,34033.66040255769,27509301.807690814,27613674.500674434,685357,ACCII
Mexico,2026,200509.4948705412,66836.4982901804,1642268.2437015756,49.82073786444846,22.386143782230015,1532497.177690811,271326.67637476604,101159.85851444106,28303433.87370158,28675920.408590786,685375,ACCII
Mexico,2027,267449.2074438104,89149.73581460347,1624506.2970661076,88.66636478225297,42.01539199496812,1541146.245233931,539484.295579423,190717.06159083344,29070803.925533757,29801005.282704014,685568,ACCII
Mexico,2028,339279.0359901607,113093.01199672023,1603864.533771669,221.9554330641171,94.26356749708475,1554721.283201795,879538.5280826434,304289.14470130467,29803508.17610363,30987335.848887578,685891,ACCII
Mexico,2029,416333.7096197787,138777.9032065929,1579933.0518904421,456.140065834873,184.32871170423255,1573892.3037152002,1296580.00984318,443558.23747951357,30492385.92427887,32232524.171601564,686212,ACCII
Mexico,2030,498957.12294004974,166319.0409800166,1552311.0491468215,846.902536175871,332.44379779606453,1598569.5844637936,1795909.543399938,610247.4788539169,31127711.38896189,33533868.411215745,686330,ACCII
Mexico,2031,639335.8898096015,213111.96326986718,1451465.2633515277,1478.611479223691,568.730338444362,1628034.8902829497,2434791.8523028204,823361.1610157307,31630689.762030482,34888842.775349036,686034,ACCII
Mexico,2032,790040.4029978557,263346.80099928525,1340674.6232690886,2478.4325279512723,937.7974611335364,1660851.7855499648,3222738.294273154,1085949.5330765476,31986944.599749606,36295632.42709931,685133,ACCII
Mexico,2033,951624.6016746217,317208.20055820723,1219074.653125659,4056.565629621109,1511.879591970689,1695590.0843764024,4169259.0826093284,1401027.0330976318,32182531.16849885,37752817.28420581,683644,ACCII
Mexico,2034,1124627.1611608758,374875.72038695856,1085846.9142242935,6501.482580869724,2388.3835056855223,1730822.5675839416,5283643.982031199,1771503.0302854986,32203932.515139222,39259079.52745592,681582,ACCII
Mexico,2035,1309485.3424352554,436495.1141450851,940143.3227740293,10220.886550692067,3701.7456131290874,1765272.5555486414,6574523.357554765,2200065.587299387,32038021.282364618,40812610.22721877,679133,ACCII
Mexico,2036,1506573.4699767912,502191.1566589303,781186.2436916694,15768.890669871038,5630.005180084676,1797879.343378853,8049402.848684479,2689041.7142994907,31671898.18267741,42410342.74566138,676467,ACCII
Mexico,2037,1716128.2992245553,572042.766408185,608248.0047884498,23860.94155876788,8397.509508274134,1827778.3047505172,9714137.165228529,3240236.7577301012,31092812.882715344,44047186.80567397,673812,ACCII
Mexico,2038,1938286.2511409263,646095.4170469753,420713.29482128634,35354.80641132581,12269.764439162256,1854222.9526927804,11572555.551232997,3854818.7823456815,30288114.22484386,45715488.558422536,671296,ACCII
Mexico,2039,2173053.7987200324,724351.2662400109,218084.25220129377,51165.320475655535,17527.65823777372,1876479.3463603146,13626391.152221814,4533302.959303556,29245350.130684838,47405044.24221021,668949,ACCII
Mexico,2040,2420721.680381897,806907.2267939656,0,72084.80436599487,24414.153812775075,1893728.423897688,15876215.446517993,5275855.069365624,27951850.706787147,49103921.222670764,666132,ACCII
Mexico,2041,2504648.081243043,834882.6937476809,0,98553.950151088007,33062.44420864574,1904987.2814211068,18145522.51404472,6023659.104227083,26630761.42536604,50799943.04363784,664112,ACCII
Mexico,2042,2588519.4999269987,862839.8333089995,0,130543.85066738818,43461.00087938093,1910121.701510842,20421858.94365365,6772607.873363065,25286546.7238552,52481013.54087192,661994,ACCII
Mexico,2043,2672033.1090429523,890677.7030143174,0,167668.09004584234,55494.60795377524,1908169.0508913402,22693006.48791863,7518691.061836049,23924668.67296385,54136366.22271853,659456,ACCII
Mexico,2044,2754996.1664664876,918332.0554888293,0,209695.3407993822,69105.31230635474,1898180.5453547086,24946143.235133305,8257731.2697456945,22551632.127609156,55755506.632488154,656109,ACCII
Mexico,2045,2837191.4216465643,945730.4738821881,0,256769.51065770182,84351.29998452027,1879327.3032184653,27167076.062411368,8985108.552724969,21174949.824390687,57327134.43952703,651613,ACCII
Mexico,2046,2918318.1097037396,972772.7032345799,0,309268.35525168723,101358.90218407522,1850897.2737969556,29340137.042699814,9695733.233909927,19803112.550593734,58838982.827203475,645691,ACCII
Mexico,2047,2997971.2238896172,999323.7412965391,0,367432.81486744166,120201.93710516451,1812313.580731954,31448937.587121844,10384250.884897508,18445479.969861772,60278668.44188112,638147,ACCII
Mexico,2048,3075654.263290532,1025218.0877635106,0,431091.5482151945,140819.64238567743,1763374.3556851987,33477420.251906514,11045363.531978656,17112000.61417657,61634784.39806174,628900,ACCII
Mexico,2049,3150888.418059103,1050296.1393530343,0,499630.13515970967,163006.7742050846,1704277.445737924,35410878.362051785,11674176.620007128,15812797.168438654,62897852.15049757,617904,ACCII
Mexico,2050,3223199.1536591416,1074399.7178863806,0,572094.5225213832,186449.8727199189,1635789.9990740006,37236750.5953469,12266514.198192779,14557615.169364642,64060879.96290432,605223,ACCII
