State,Segment,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Alberta,Car,2020,57880.15225727853,0,0,0,0,653.717779156809,182.107741223801,27086,27921.82552038061
Alberta,SUV,2020,94554.54018043443,0,0,0,0,214.306034984292,129.136642657842,186631,186974.44267764213
British Columbia,Car,2020,73171.4614065325,10,5,15,0,8670.11344684482,1318.63557199403,34242,44230.74901883885
British Columbia,SUV,2020,81684.2125151515,0,0,0,0,2101.88659194043,705.549957822335,161228,164035.43654976276
Manitoba,Car,2020,16347.295658571658,0,0,0,0,142.758193383237,55.7920446434365,7650,7848.5502380266735
Manitoba,SUV,2020,23507.08819118102,0,0,0,0,27.6741651475779,26.1721108299267,46398,46451.84627597751
New Brunswick,Car,2020,13932.070247384592,0,0,0,0,60.7481673971221,38.5529297255207,6520,6619.301097122643
New Brunswick,SUV,2020,14390.602288275932,0,0,0,0,19.2369196757553,15.5152034261242,28404,28438.75212310188
Newfoundland and Labrador,Car,2020,7542.182545346374,0,0,0,0,23.961777139976,14.2614496139121,3530,3568.223226753888
Newfoundland and Labrador,SUV,2020,10237.334988701174,0,0,0,0,4.72485746422061,4.23141911621569,20206,20214.956276580437
Northwest Territories,Car,2020,235.7915848865857,0,0,0,0,1.6874490943645,1.56719226526507,110,113.25464135962957
Northwest Territories,SUV,2020,820.0465740804224,0,0,0,0,0.337489818872901,0.156719226526507,1619,1619.4942090453994
Nova Scotia,Car,2020,16845.92739979912,0,0,0,0,83.0224954427336,47.1724871844786,7883,8013.194982627212
Nova Scotia,SUV,2020,14950.729911458538,0,0,0,0,19.5744094946282,15.0450457465447,29510,29544.619455241173
Nunavut,Car,2020,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2020,0,0,0,0,0,0,0,0,0
Ontario,Car,2020,230944.62222843067,10,11,21,0,6700.86035372144,2487.9177211083,108076,117264.77807482974
Ontario,SUV,2020,225920.8669210389,0,1,1,0,1592.61445526122,902.232587113101,445922,448416.8470423743
Prince Edward Island,Car,2020,2710.896493924958,0,0,0,0,21.2618585889927,8.7762766854844,1269,1299.038135274477
Prince Edward Island,SUV,2020,2501.6628024462075,0,0,0,0,3.03740836985611,2.97766530400363,4938,4944.01507367386
Quebec,Car,2020,171051.5679672021,14,16,30,0,11787.8443935927,4747.33880994095,80048,96583.18320353366
Quebec,SUV,2020,121030.96256585285,0,0,0,0,2563.57266415855,1322.24011420414,238891,242776.81277836268
Saskatchewan,Car,2020,13521.201804510012,0,0,0,0,82.3475158049878,31.1871260787749,6328,6441.534641883763
Saskatchewan,SUV,2020,25238.99805134619,0,0,0,0,23.6242873211031,16.2987995587567,49817,49856.92308687986
